,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ARL14EPL,3.61091768810352,2.24322502406437,0.765353405700163,2.93096627957409,0.00337909458540978,0.00903071774704145
ARMC4,30.8537901826994,-2.2560665162236,0.532704016880406,-4.23512202786731,2.28427625749677e-05,0.000110543632796846
ARMCX1,463.400831725426,-1.84746456868145,0.322392744273498,-5.73047812488663,1.00147942852731e-08,1.00410299703926e-07
ARSF,14.494989339831,-3.44462977644679,0.644450317698851,-5.34506645717327,9.03838855698075e-08,7.49193985018143e-07
ARX,14.6462612619412,4.60847012323247,0.804139550646083,5.73093329326957,9.98795429523282e-09,1.00186448009751e-07
ASB10,1.83787682931117,2.57169517834214,0.805965104635387,3.19082695212414,0.0014186622344154,0.00426597998910229
ASB2,393.240875001382,-3.51136218515516,0.400747283014906,-8.76203616089034,1.91754738299757e-18,1.13206693637713e-16
ASB4,4.01670345973543,-1.62315660083132,0.606715917158765,-2.67531567068904,0.00746589159565473,0.017976772062083
ASB5,183.733768199661,-5.07670158872866,0.870599400976592,-5.83127163082571,5.50065559672713e-09,5.82555118970176e-08
ASCL5,13.254225030188,1.89725710836618,0.402408207698519,4.71475748274893,2.41998808564211e-06,1.47336520913559e-05
ASF1B,1777.21673593776,2.06932192021789,0.212235593959433,9.75011722403843,1.84255383575673e-22,2.42017810923834e-20
ASIC5,7.83536791087845,2.53811794258576,0.843104159923277,3.01044409840977,0.00260865962374111,0.00723837829097564
ASNSP1,14.3513815856383,4.19401547855239,1.03580736949268,4.04903035262874,5.14302750369921e-05,0.000228512659181575
ASPA,90.3691169637322,-3.30330705628591,0.445243781324096,-7.41909757046424,1.17921021139288e-13,2.95108323252528e-12
ASPM,1491.53919700707,2.22130373123312,0.265450952744094,8.36803826948231,5.85853684852912e-17,2.58031351118352e-15
ASTL,28.6104361537227,-3.0887246805812,0.468221633744529,-6.59671501267383,4.20367696748686e-11,6.76182763219371e-10
